gwdONQ7cPRw#10320,"In the photo there is a white middle-aged man. He has straight gray hair and black eyes. The man is wearing a white dress shirt, with a red tie and a black suit over it. He's in an office with a bookshelf, a striped wall, and a window covered by a curtain in the background.","In the photo there is a white middle-aged man. He has straight gray hair and black eyes. The man is wearing a white dress shirt, with a red tie and a black suit over it. He's in an office with a bookshelf, a striped wall, and a window covered by a curtain in the background.","In the photo there is a white middle-aged man. He has straight gray hair and black eyes. The man is wearing a white dress shirt, with a red tie and a black suit over it. He's in an office with a bookshelf, a striped wall, and a window covered by a curtain in the background."
ba6A6ciO-pI#78360,"A woman with white skin. Her facial expression is blank. She has long straight black hair and her eyes are black. The woman is wearing a red shirt and is wearing black headphones, earrings and makeup. She's in an office with a bookshelf and pictures on the yellow wall in the background.","Photograph of a woman with fair skin and a blank expression on her face. She has long straight black hair and her eyes are black. The woman is wearing a red shirt and she is wearing makeup, earrings and black headphones. She is in an office with a bookshelf with books and pictures on the yellow wall in the background.","Photograph of a woman with fair skin and a blank expression on her face. She has long straight black hair and her eyes are black. The woman is wearing a red shirt and she is wearing black headphones, earrings and makeup. She is in an office with a bookshelf with books and pictures on the yellow wall in the background."
SG0yy27KPjY#47520,"In the photo there is an adult male with white skin. He has his face to the side talking to. He has black eyes and short black hair. The man is wearing a yellow shirt and black headphones. He is in an office with a bookshelf, stuffed animals, various objects and a white wall in the background.",In the photo there is an adult male with white skin. He has his face to the side talking and with his hand up. He has short black hair. The man is wearing a black shirt and black blazer. He's in a recording studio with a sign in the background and lights.,In the photo there is an adult male with white skin. He has his face to the side talking and with his hand up. He has short black hair. The man is wearing a black shirt and black blazer. He's in a recording studio with a sign in the background and lights.
xnTO-JHbyjU#98040,A man with fair skin and a cheerful facial expression. His eyes are brown. He has straight brown hair and a full brown beard. The man is wearing a white shirt. He's in a room with a painting on the red wall and a big rock in the background.,A man with fair skin and a cheerful facial expression. His eyes are brown. He has straight brown hair and a full brown beard. The man is wearing a white shirt. He is in a room with a painting on the red wall and a rock in the background.,A man with fair skin and a cheerful facial expression. His eyes are brown. He has straight brown hair and a full brown beard. The man is wearing a white shirt. The man is in a room with a painting on the red wall and a stone in the background.
PogXDjOqi-A#16320,There is a white female in the picture. Her facial expression is serious. She has long straight brown hair and her eyes are black. The woman is wearing a denim jacket and is wearing glasses. She is in a room with a vase of plants in front of a green curtain.,There is a white female in the picture. Her facial expression is serious. She has long straight brown hair and her eyes are black. The woman is wearing a denim jacket and is wearing glasses. She is in a room with a vase of plants in front of a green curtain.,There is a brown woman in the image with a serious facial expression. She has long straight brown hair and her eyes are black. The woman is wearing a denim jacket and she is wearing glasses. She is in a room with a vase of plants in front of a green curtain.
ZMD_KDTYAu0#91200,"A woman with long straight brown hair. She has white skin, black eyes, and a cheerful facial expression. The woman is wearing a brown blouse with black details and glasses. She's on a blue background with white details.","A woman with long straight brown hair. She has white skin, black eyes, and a cheerful facial expression. The woman is wearing a brown blouse with black details and glasses. She's on a blue background with white details.","A woman with long straight brown hair. She has white skin, black eyes, and a cheerful facial expression. The woman is wearing a brown blouse with black details and glasses. She's on a blue background with white details."
eGrMRzA0nzc#86040,"A man with dark skin. His facial expression is blank. He is gesturing with his hand. His eyes are black, he has curly black hair and a full black beard. The man is wearing white headphones, glasses and a blue dress shirt. He's in an office with a large bookcase in the background.","A man with dark skin. His facial expression is blank. He is gesturing with his hand. His eyes are black and he has curly black hair and a full black beard. The man is wearing white headphones, glasses and a blue dress shirt. He's in an office with a large bookcase in the background.","A man with dark skin and a blank facial expression. He is gesturing with his hand. His eyes are black and he has curly black hair and a full black beard. The man is wearing white headphones, glasses and a blue dress shirt. He's in an office with a bookcase in the background."
6DsXKGyja-I#25440,"A woman with dreadlocks in her long black hair. She has dark skin, black eyes, and a cheerful facial expression. The woman is wearing makeup, earrings and a red shirt with flower designs. She is in a room with a beige wall in the background.","A woman with dreadlocks in her long black hair. She has dark skin, black eyes, and a cheerful facial expression. The woman is wearing makeup, earrings and a red shirt with flower designs. She is in a room with a beige wall in the background.","A woman with dreadlocks in her long black hair. She has dark skin, black eyes, and a cheerful facial expression. The woman is wearing makeup, earrings and a red shirt with flower designs. She is in a room with a beige wall in the background."
YJPKahmhgjc#6120,In the photo there is a young black woman. Her facial expression is cheerful. She has black eyes and short black hair with braids. The woman is wearing a gray blouse and is wearing shiny hair clips. She is in a room with a beige wall in the background.,In the photo there is a black woman with a happy face. She has black eyes and short black hair with braids. The woman is wearing a gray blouse and is wearing shiny hair clips. She is in a room with a beige wall in the background.,In the photo there is a black woman with a happy face. She has black eyes and short black hair with braids. The woman is wearing a gray blouse and is wearing shiny hair clips. She is in a room with a beige wall in the background.
Gb8mhj84SFc#145320,"An elderly man with fair skin and a sad facial expression. He is bald, has brown eyes and a full gray beard. The man is wearing an orange shirt and wearing glasses. He's in a living room with a sofa, a lamp and a painting on the white wall in the background.","An elderly man with fair skin and a sad facial expression. He is bald, has brown eyes and a full gray beard. The man is wearing an orange shirt and wearing glasses. He's in a living room with a sofa, a lamp and a painting on the back wall.","An elderly man with fair skin and a sad facial expression. He is bald, has brown eyes and a full gray beard. The man is wearing an orange shirt and he is wearing glasses. The man is in a living room with a sofa, a lamp and a painting on the wall in the background."
